"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Custer County, ID"	"16037"	11	4280	Unreliable
	"Elmore County, ID"	"16039"	53	27259	194.4
	"Franklin County, ID"	"16041"	27	13726	196.7
	"Fremont County, ID"	"16043"	19	13168	Unreliable
	"Gem County, ID"	"16045"	62	17634	351.6
	"Gooding County, ID"	"16047"	30	15196	197.4
	"Idaho County, ID"	"16049"	40	16513	242.2
	"Jefferson County, ID"	"16051"	45	29439	152.9
	"Jerome County, ID"	"16053"	38	24015	158.2
	"Kootenai County, ID"	"16055"	345	161505	213.6
	"Latah County, ID"	"16057"	46	40134	114.6
	"Lemhi County, ID"	"16059"	25	7961	314.0
	"Lincoln County, ID"	"16063"	17	5360	Unreliable
	"Madison County, ID"	"16065"	60	39304	152.7
	"Minidoka County, ID"	"16067"	45	20825	216.1
	"Nez Perce County, ID"	"16069"	100	40408	247.5
	"Oneida County, ID"	"16071"	16	4488	Unreliable
	"Owyhee County, ID"	"16073"	28	11693	239.5
	"Payette County, ID"	"16075"	59	23551	250.5
	"Power County, ID"	"16077"	10	7768	Unreliable
	"Shoshone County, ID"	"16079"	35	12796	273.5
	"Twin Falls County, ID"	"16083"	152	86081	176.6
	"Washington County, ID"	"16087"	23	10161	226.4
	"Adams County, IL"	"17001"	181	65691	275.5
	"Alexander County, IL"	"17003"	22	6060	363.0
	"Bond County, IL"	"17005"	38	16630	228.5
	"Boone County, IL"	"17007"	117	53577	218.4
	"Brown County, IL"	"17009"	13	6556	Unreliable
	"Bureau County, IL"	"17011"	102	32993	309.2
	"Calhoun County, IL"	"17013"	17	4802	Unreliable
	"Carroll County, IL"	"17015"	56	14312	391.3
	"Cass County, IL"	"17017"	27	12260	220.2
	"Champaign County, IL"	"17019"	268	209983	127.6
	"Christian County, IL"	"17021"	95	32661	290.9
	"Clark County, IL"	"17023"	43	15596	275.7
	"Clay County, IL"	"17025"	54	13253	407.5
	"Clinton County, IL"	"17027"	88	37639	233.8
	"Coles County, IL"	"17029"	110	50885	216.2
	"Cook County, IL"	"17031"	10209	5180493	197.1
	"Crawford County, IL"	"17033"	58	18807	308.4
	"Cumberland County, IL"	"17035"	20	10808	185.0
	"DeKalb County, IL"	"17037"	152	104143	146.0
	"De Witt County, IL"	"17039"	47	15769	298.1
	"Douglas County, IL"	"17041"	33	19479	169.4
	"DuPage County, IL"	"17043"	1476	928589	159.0
	"Edgar County, IL"	"17045"	61	17360	351.4
	"Edwards County, IL"	"17047"	22	6392	344.2
	"Effingham County, IL"	"17049"	74	34208	216.3
	"Fayette County, IL"	"17051"	47	21416	219.5
	"Ford County, IL"	"17053"	41	13264	309.1
	"Franklin County, IL"	"17055"	100	38701	258.4
	"Fulton County, IL"	"17057"	105	34844	301.3
	"Gallatin County, IL"	"17059"	17	5058	Unreliable
	"Greene County, IL"	"17061"	39	13044	299.0
	"Grundy County, IL"	"17063"	84	50972	164.8
	"Hamilton County, IL"	"17065"	23	8163	281.8
	"Hancock County, IL"	"17067"	42	17844	235.4
	"Hardin County, IL"	"17069"	15	3910	Unreliable
	"Henderson County, IL"	"17071"	33	6709	491.9
	"Henry County, IL"	"17073"	147	49090	299.4
	"Iroquois County, IL"	"17075"	101	27604	365.9
	"Jackson County, IL"	"17077"	101	57419	175.9
	"Jasper County, IL"	"17079"	25	9611	260.1
	"Jefferson County, IL"	"17081"	123	37820	325.2
	"Jersey County, IL"	"17083"	64	21847	292.9
	"Jo Daviess County, IL"	"17085"	57	21366	266.8
	"Johnson County, IL"	"17087"	29	12456	232.8
	"Kane County, IL"	"17089"	701	534216	131.2
	"Kankakee County, IL"	"17091"	325	110024	295.4
	"Kendall County, IL"	"17093"	102	127915	79.7
	"Knox County, IL"	"17095"	161	50112	321.3
	"Lake County, IL"	"17097"	965	700832	137.7
	"LaSalle County, IL"	"17099"	314	109430	286.9
	"Lawrence County, IL"	"17101"	30	15765	190.3
	"Lee County, IL"	"17103"	97	34223	283.4
	"Livingston County, IL"	"17105"	112	35761	313.2
	"Logan County, IL"	"17107"	84	28925	290.4
	"McDonough County, IL"	"17109"	66	29955	220.3
	"McHenry County, IL"	"17111"	485	308570	157.2
	"McLean County, IL"	"17113"	309	172828	178.8
	"Macon County, IL"	"17115"	270	104712	257.9
	"Macoupin County, IL"	"17117"	129	45313	284.7
	"Madison County, IL"	"17119"	721	264461	272.6
	"Marion County, IL"	"17121"	142	37620	377.5
	"Marshall County, IL"	"17123"	43	11534	372.8
	"Mason County, IL"	"17125"	35	13565	258.0
	"Massac County, IL"	"17127"	48	14080	340.9
	"Menard County, IL"	"17129"	23	12288	187.2
	"Mercer County, IL"	"17131"	48	15601	307.7
	"Monroe County, IL"	"17133"	78	34335	227.2
	"Montgomery County, IL"	"17135"	62	28601	216.8
	"Morgan County, IL"	"17137"	156	33976	459.1
	"Moultrie County, IL"	"17139"	52	14717	353.3
	"Ogle County, IL"	"17141"	119	50923	233.7
	"Peoria County, IL"	"17143"	389	180621	215.4
	"Perry County, IL"	"17145"	47	21174	222.0
	"Piatt County, IL"	"17147"	35	16396	213.5
	"Pike County, IL"	"17149"	51	15611	326.7
	"Pope County, IL"	"17151"	13	4212	Unreliable
	"Pulaski County, IL"	"17153"	31	5463	567.5
	"Putnam County, IL"	"17155"	13	5740	Unreliable
	"Randolph County, IL"	"17157"	81	32106	252.3
	"Richland County, IL"	"17159"	54	15763	342.6
	"Rock Island County, IL"	"17161"	374	143477	260.7
	"St. Clair County, IL"	"17163"	637	261059	244.0
	"Saline County, IL"	"17165"	73	23906	305.4
	"Sangamon County, IL"	"17167"	460	195348	235.5
	"Schuyler County, IL"	"17169"	27	6907	390.9
	"Shelby County, IL"	"17173"	65	21741	299.0
	"Stark County, IL"	"17175"	13	5427	Unreliable
	"Stephenson County, IL"	"17177"	120	44753	268.1
	"Tazewell County, IL"	"17179"	336	132328	253.9
	"Union County, IL"	"17181"	61	16841	362.2
	"Vermilion County, IL"	"17183"	233	76806	303.4
	"Wabash County, IL"	"17185"	25	11549	216.5
	"Warren County, IL"	"17187"	56	17032	328.8
	"Washington County, IL"	"17189"	41	13995	293.0
	"Wayne County, IL"	"17191"	40	16332	244.9
	"White County, IL"	"17193"	54	13665	395.2
	"Whiteside County, IL"	"17195"	189	55626	339.8
	"Will County, IL"	"17197"	1050	692310	151.7
	"Williamson County, IL"	"17199"	143	67056	213.3
	"Winnebago County, IL"	"17201"	700	284081	246.4
	"Woodford County, IL"	"17203"	82	38463	213.2
	"Adams County, IN"	"18001"	64	35636	179.6
	"Allen County, IN"	"18003"	712	375351	189.7
	"Bartholomew County, IN"	"18005"	154	82753	186.1
	"Benton County, IN"	"18007"	29	8653	335.1
	"Blackford County, IN"	"18009"	29	11930	243.1
	"Boone County, IN"	"18011"	135	66999	201.5
	"Brown County, IN"	"18013"	31	15234	203.5
	"Carroll County, IN"	"18015"	46	20127	228.5
	"Cass County, IN"	"18017"	70	37955	184.4
	"Clark County, IN"	"18019"	271	117360	230.9
	"Clay County, IN"	"18021"	84	26170	321.0
	"Clinton County, IN"	"18023"	83	32250	257.4
	"Crawford County, IN"	"18025"	29	10558	274.7
	"Daviess County, IN"	"18027"	84	33147	253.4
	"Dearborn County, IN"	"18029"	113	49568	228.0
	"Decatur County, IN"	"18031"	68	26794	253.8
	"De Kalb County, IN"	"18033"	94	43226	217.5
	"Delaware County, IN"	"18035"	279	114772	243.1
	"Dubois County, IN"	"18037"	114	42565	267.8
	"Elkhart County, IN"	"18039"	397	205560	193.1
	"Fayette County, IN"	"18041"	89	23047	386.2
	"Floyd County, IN"	"18043"	155	77781	199.3
	"Fountain County, IN"	"18045"	41	16351	250.7
	"Franklin County, IN"	"18047"	47	22736	206.7
	"Fulton County, IN"	"18049"	62	20092	308.6
	"Gibson County, IN"	"18051"	103	33452	307.9
	"Grant County, IN"	"18053"	199	65936	301.8
	"Greene County, IN"	"18055"	78	32006	243.7
	"Hamilton County, IN"	"18057"	386	330086	116.9
	"Hancock County, IN"	"18059"	141	76351	184.7
	"Harrison County, IN"	"18061"	64	40350	158.6
	"Hendricks County, IN"	"18063"	276	167009	165.3
	"Henry County, IN"	"18065"	131	48271	271.4
	"Howard County, IN"	"18067"	263	82366	319.3
	"Huntington County, IN"	"18069"	80	36240	220.8
	"Jackson County, IN"	"18071"	95	44111	215.4
	"Jasper County, IN"	"18073"	93	33370	278.7
	"Jay County, IN"	"18075"	39	20764	187.8
	"Jefferson County, IN"	"18077"	101	32208	313.6
	"Jennings County, IN"	"18079"	68	27611	246.3
	"Johnson County, IN"	"18081"	309	156225	197.8
	"Knox County, IN"	"18083"	83	36895	225.0
	"Kosciusko County, IN"	"18085"	178	79344	224.3
	"Lagrange County, IN"	"18087"	61	39330	155.1
	"Lake County, IN"	"18089"	1211	484411	250.0
	"La Porte County, IN"	"18091"	312	110007	283.6
	"Lawrence County, IN"	"18093"	106	45668	232.1
	"Madison County, IN"	"18095"	300	129641	231.4
	"Marion County, IN"	"18097"	1788	954670	187.3
	"Marshall County, IN"	"18099"	112	46248	242.2
	"Martin County, IN"	"18101"	36	10217	352.4
	"Miami County, IN"	"18103"	79	35567	222.1
	"Monroe County, IN"	"18105"	232	146917	157.9
	"Montgomery County, IN"	"18107"	127	38346	331.2
	"Morgan County, IN"	"18109"	176	70116	251.0
	"Newton County, IN"	"18111"	42	14011	299.8
	"Noble County, IN"	"18113"	112	47532	235.6
	"Orange County, IN"	"18117"	39	19489	200.1
	"Owen County, IN"	"18119"	45	20845	215.9
	"Parke County, IN"	"18121"	40	16927	236.3
	"Perry County, IN"	"18123"	67	19102	350.7
	"Pike County, IN"	"18125"	21	12410	169.2
	"Porter County, IN"	"18127"	334	169594	196.9
	"Posey County, IN"	"18129"	56	25540	219.3
	"Pulaski County, IN"	"18131"	33	12469	264.7
	"Putnam County, IN"	"18133"	75	37779	198.5
	"Randolph County, IN"	"18135"	96	24851	386.3
	"Ripley County, IN"	"18137"	84	28523	294.5
	"Rush County, IN"	"18139"	47	16663	282.1
	"St. Joseph County, IN"	"18141"	576	270771	212.7
	"Scott County, IN"	"18143"	63	23878	263.8
	"Shelby County, IN"	"18145"	90	44593	201.8
	"Spencer County, IN"	"18147"	44	20327	216.5
	"Starke County, IN"	"18149"	80	22935	348.8
	"Steuben County, IN"	"18151"	73	34586	211.1
	"Sullivan County, IN"	"18153"	66	20690	319.0
	"Switzerland County, IN"	"18155"	23	10717	214.6
	"Tippecanoe County, IN"	"18157"	268	193048	138.8
	"Tipton County, IN"	"18159"	37	15128	244.6
	"Union County, IN"	"18161"	19	7037	Unreliable
	"Vanderburgh County, IN"	"18163"	428	180974	236.5
	"Vermillion County, IN"	"18165"	47	15479	303.6
	"Vigo County, IN"	"18167"	336	107386	312.9
	"Wabash County, IN"	"18169"	84	31280	268.5
	"Warren County, IN"	"18171"	13	8263	Unreliable
	"Warrick County, IN"	"18173"	163	62567	260.5
	"Washington County, IN"	"18175"	73	27943	261.2
	"Wayne County, IN"	"18177"	238	65936	361.0
	"Wells County, IN"	"18179"	68	28206	241.1
	"White County, IN"	"18181"	74	24133	306.6
	"Whitley County, IN"	"18183"	65	34074	190.8
	"Adair County, IA"	"19001"	25	7063	354.0
	"Adams County, IA"	"19003"	16	3645	Unreliable
	"Allamakee County, IA"	"19005"	47	13832	339.8
	"Appanoose County, IA"	"19007"	42	12437	337.7
	"Audubon County, IA"	"19009"	13	5506	Unreliable
	"Benton County, IA"	"19011"	77	25642	300.3
	"Black Hawk County, IA"	"19013"	261	132408	197.1
	"Boone County, IA"	"19015"	69	26346	261.9
	"Bremer County, IA"	"19017"	58	24947	232.5
	"Buchanan County, IA"	"19019"	51	21199	240.6
	"Buena Vista County, IA"	"19021"	50	19874	251.6
	"Butler County, IA"	"19023"	52	14539	357.7
	"Calhoun County, IA"	"19025"	28	9699	288.7
	"Carroll County, IA"	"19027"	55	20154	272.9
	"Cass County, IA"	"19029"	59	12930	456.3
	"Cedar County, IA"	"19031"	38	18627	204.0
	"Cerro Gordo County, IA"	"19033"	132	42647	309.5
	"Cherokee County, IA"	"19035"	44	11321	388.7
	"Chickasaw County, IA"	"19037"	38	11964	317.6
	"Clarke County, IA"	"19039"	37	9423	392.7
	"Clay County, IA"	"19041"	44	16134	272.7
	"Clayton County, IA"	"19043"	50	17556	284.8
	"Clinton County, IA"	"19045"	141	46518	303.1
	"Crawford County, IA"	"19047"	35	17158	204.0
	"Dallas County, IA"	"19049"	105	90180	116.4
	"Davis County, IA"	"19051"	24	9017	266.2
	"Decatur County, IA"	"19053"	18	7890	Unreliable
	"Delaware County, IA"	"19055"	50	17069	292.9
	"Des Moines County, IA"	"19057"	124	39138	316.8
	"Dickinson County, IA"	"19059"	54	17153	314.8
	"Dubuque County, IA"	"19061"	223	96854	230.2
	"Emmet County, IA"	"19063"	38	9253	410.7
	"Fayette County, IA"	"19065"	65	19660	330.6
	"Floyd County, IA"	"19067"	38	15761	241.1
	"Franklin County, IA"	"19069"	28	10124	276.6
	"Fremont County, IA"	"19071"	12	6993	Unreliable
	"Greene County, IA"	"19073"	29	8981	322.9
	"Grundy County, IA"	"19075"	45	12304	365.7
	"Guthrie County, IA"	"19077"	29	10720	270.5
	"Hamilton County, IA"	"19079"	41	14952	274.2
	"Hancock County, IA"	"19081"	37	10712	345.4
	"Hardin County, IA"	"19083"	55	16868	326.1
	"Harrison County, IA"	"19085"	39	14134	275.9
	"Henry County, IA"	"19087"	52	20067	259.1
	"Howard County, IA"	"19089"	54	9187	587.8
	"Humboldt County, IA"	"19091"	29	9547	303.8
	"Ida County, IA"	"19093"	25	6841	365.4
	"Iowa County, IA"	"19095"	42	16141	260.2
	"Jackson County, IA"	"19097"	56	19432	288.2
	"Jasper County, IA"	"19099"	88	37147	236.9
	"Jefferson County, IA"	"19101"	51	18381	277.5
	"Johnson County, IA"	"19103"	190	151260	125.6
	"Jones County, IA"	"19105"	50	20744	241.0
	"Keokuk County, IA"	"19107"	30	10225	293.4
	"Kossuth County, IA"	"19109"	57	14908	382.3
	"Lee County, IA"	"19111"	102	34055	299.5
	"Linn County, IA"	"19113"	408	225909	180.6
	"Louisa County, IA"	"19115"	24	11169	214.9
	"Lucas County, IA"	"19117"	26	8645	300.8
	"Lyon County, IA"	"19119"	30	11811	254.0
	"Madison County, IA"	"19121"	37	16249	227.7
	"Mahaska County, IA"	"19123"	62	22000	281.8
	"Marion County, IA"	"19125"	86	33407	257.4
	"Marshall County, IA"	"19127"	158	39981	395.2
	"Mills County, IA"	"19129"	24	15063	159.3
	"Mitchell County, IA"	"19131"	45	10569	425.8
	"Monona County, IA"	"19133"	50	8679	576.1
	"Monroe County, IA"	"19135"	28	7790	359.4
	"Montgomery County, IA"	"19137"	44	10003	439.9
	"Muscatine County, IA"	"19139"	74	42929	172.4
	"O'Brien County, IA"	"19141"	61	13840	440.8
	"Osceola County, IA"	"19143"	15	6040	Unreliable
	"Page County, IA"	"19145"	60	15249	393.5
	"Palo Alto County, IA"	"19147"	21	8929	235.2
	"Plymouth County, IA"	"19149"	40	25095	159.4
	"Pocahontas County, IA"	"19151"	28	6740	415.4
	"Polk County, IA"	"19153"	778	487204	159.7
	"Pottawattamie County, IA"	"19155"	192	93533	205.3
	"Poweshiek County, IA"	"19157"	47	18699	251.4
	"Ringgold County, IA"	"19159"	19	4968	Unreliable
	"Sac County, IA"	"19161"	32	9719	329.3
	"Scott County, IA"	"19163"	342	173283	197.4
	"Shelby County, IA"	"19165"	32	11578	276.4
	"Sioux County, IA"	"19167"	49	34909	140.4
	"Story County, IA"	"19169"	132	98105	134.5
	"Tama County, IA"	"19171"	67	16904	396.4
	"Taylor County, IA"	"19173"	18	6191	Unreliable
	"Union County, IA"	"19175"	48	12359	388.4
	"Van Buren County, IA"	"19177"	21	7020	299.1
	"Wapello County, IA"	"19179"	111	35205	315.3
	"Warren County, IA"	"19181"	123	51056	240.9
	"Washington County, IA"	"19183"	56	22141	252.9
	"Wayne County, IA"	"19185"	27	6401	421.8
	"Webster County, IA"	"19187"	123	36277	339.1
	"Winnebago County, IA"	"19189"	37	10518	351.8
	"Winneshiek County, IA"	"19191"	48	20029	239.7
	"Woodbury County, IA"	"19193"	161	102539	157.0
	"Worth County, IA"	"19195"	16	7453	Unreliable
	"Wright County, IA"	"19197"	43	12690	338.8
	"Allen County, KS"	"20001"	31	12444	249.1
	"Anderson County, KS"	"20003"	17	7878	Unreliable
	"Atchison County, KS"	"20005"	34	16193	210.0
	"Barber County, KS"	"20007"	21	4472	469.6
	"Barton County, KS"	"20009"	79	26111	302.6
	"Bourbon County, KS"	"20011"	34	14653	232.0
	"Brown County, KS"	"20013"	32	9598	333.4
	"Butler County, KS"	"20015"	159	66765	238.1
	"Chase County, KS"	"20017"	15	2629	Unreliable
	"Chautauqua County, KS"	"20019"	12	3309	Unreliable
	"Cherokee County, KS"	"20021"	65	20015	324.8
	"Cheyenne County, KS"	"20023"	11	2660	Unreliable
	"Clay County, KS"	"20027"	19	7997	Unreliable
	"Cloud County, KS"	"20029"	32	8729	366.6
	"Coffey County, KS"	"20031"	26	8233	315.8
	"Cowley County, KS"	"20035"	79	35218	224.3
	"Crawford County, KS"	"20037"	96	39019	246.0
	"Dickinson County, KS"	"20041"	52	18717	277.8
	"Doniphan County, KS"	"20043"	23	7682	299.4
	"Douglas County, KS"	"20045"	166	121436	136.7
	"Elk County, KS"	"20049"	17	2508	Unreliable
	"Ellis County, KS"	"20051"	44	28710	153.3
	"Ellsworth County, KS"	"20053"	21	6196	338.9
	"Finney County, KS"	"20055"	43	36611	117.5
	"Ford County, KS"	"20057"	63	33888	185.9
	"Franklin County, KS"	"20059"	51	25631	199.0
	"Geary County, KS"	"20061"	55	32594	168.7
	"Grant County, KS"	"20067"	21	7336	286.3
	"Greenwood County, KS"	"20073"	22	6055	363.3
	"Harper County, KS"	"20077"	12	5506	Unreliable
	"Harvey County, KS"	"20079"	100	34210	292.3
	"Jackson County, KS"	"20085"	44	13280	331.3
	"Jefferson County, KS"	"20087"	38	18975	200.3
	"Johnson County, KS"	"20091"	771	597555	129.0
	"Kingman County, KS"	"20095"	55	7310	752.4
	"Labette County, KS"	"20099"	58	19964	290.5
	"Leavenworth County, KS"	"20103"	163	81352	200.4
	"Linn County, KS"	"20107"	24	9750	246.2
	"Lyon County, KS"	"20111"	69	33406	206.5
	"McPherson County, KS"	"20113"	67	28537	234.8
	"Marion County, KS"	"20115"	35	11950	292.9
	"Marshall County, KS"	"20117"	23	9722	236.6
	"Meade County, KS"	"20119"	16	4146	Unreliable
	"Miami County, KS"	"20121"	60	33680	178.1
	"Mitchell County, KS"	"20123"	20	6150	325.2
	"Montgomery County, KS"	"20125"	140	32120	435.9
	"Morris County, KS"	"20127"	25	5521	452.8
	"Morton County, KS"	"20129"	12	2667	Unreliable
	"Nemaha County, KS"	"20131"	29	10155	285.6
	"Neosho County, KS"	"20133"	51	15951	319.7
	"Norton County, KS"	"20137"	13	5430	Unreliable
	"Osage County, KS"	"20139"	37	15941	232.1
	"Osborne County, KS"	"20141"	14	3475	Unreliable
	"Ottawa County, KS"	"20143"	11	5802	Unreliable
	"Pawnee County, KS"	"20145"	21	6562	320.0
	"Phillips County, KS"	"20147"	17	5317	Unreliable
	"Pottawatomie County, KS"	"20149"	41	24277	168.9
	"Pratt County, KS"	"20151"	29	9378	309.2
	"Reno County, KS"	"20155"	135	62342	216.5
	"Republic County, KS"	"20157"	13	4664	Unreliable
	"Rice County, KS"	"20159"	31	9531	325.3
	"Riley County, KS"	"20161"	83	73703	112.6
	"Rooks County, KS"	"20163"	14	5013	Unreliable
	"Rush County, KS"	"20165"	15	3093	Unreliable
	"Russell County, KS"	"20167"	22	6907	318.5
	"Saline County, KS"	"20169"	113	54401	207.7
	"Scott County, KS"	"20171"	11	4897	Unreliable
	"Sedgwick County, KS"	"20173"	932	513607	181.5
	"Seward County, KS"	"20175"	38	21780	174.5
	"Shawnee County, KS"	"20177"	425	177499	239.4
	"Sherman County, KS"	"20181"	16	5899	Unreliable
	"Smith County, KS"	"20183"	19	3603	Unreliable
	"Stafford County, KS"	"20185"	14	4178	Unreliable
	"Sumner County, KS"	"20191"	67	22996	291.4
	"Thomas County, KS"	"20193"	12	7711	Unreliable
	"Trego County, KS"	"20195"	17	2793	Unreliable
	"Wabaunsee County, KS"	"20197"	16	6899	Unreliable
	"Washington County, KS"	"20201"	19	5420	Unreliable
	"Wilson County, KS"	"20205"	27	8665	311.6
	"Woodson County, KS"	"20207"	10	3183	Unreliable
	"Wyandotte County, KS"	"20209"	290	165324	175.4
	"Adair County, KY"	"21001"	58	19215	301.8
	"Allen County, KY"	"21003"	51	21122	241.5
	"Anderson County, KY"	"21005"	40	22663	176.5
	"Ballard County, KY"	"21007"	36	7979	451.2
	"Barren County, KY"	"21009"	121	44176	273.9
	"Bath County, KY"	"21011"	43	12383	347.3
	"Bell County, KY"	"21013"	124	26569	466.7
	"Boone County, KY"	"21015"	169	131533	128.5
	"Bourbon County, KY"	"21017"	65	20184	322.0
	"Boyd County, KY"	"21019"	175	47240	370.4
	"Boyle County, KY"	"21021"	75	30100	249.2
	"Bracken County, KY"	"21023"	29	8239	352.0
	"Breathitt County, KY"	"21025"	71	12726	557.9
	"Breckinridge County, KY"	"21027"	58	20388	284.5
	"Bullitt County, KY"	"21029"	124	81069	153.0
	"Butler County, KY"	"21031"	32	12772	250.5
	"Caldwell County, KY"	"21033"	54	12715	424.7
	"Calloway County, KY"	"21035"	104	39135	265.7
	"Campbell County, KY"	"21037"	171	93152	183.6
	"Carroll County, KY"	"21041"	35	10737	326.0
	"Carter County, KY"	"21043"	76	27004	281.4
	"Casey County, KY"	"21045"	28	15888	176.2
	"Christian County, KY"	"21047"	145	71671	202.3
	"Clark County, KY"	"21049"	129	36249	355.9
	"Clay County, KY"	"21051"	72	20105	358.1
	"Clinton County, KY"	"21053"	23	10206	225.4
	"Crittenden County, KY"	"21055"	48	8915	538.4
	"Cumberland County, KY"	"21057"	27	6659	405.5
	"Daviess County, KY"	"21059"	219	101104	216.6
	"Edmonson County, KY"	"21061"	31	12274	252.6
	"Elliott County, KY"	"21063"	19	7508	Unreliable
	"Estill County, KY"	"21065"	51	14198	359.2
	"Fayette County, KY"	"21067"	476	323780	147.0
	"Fleming County, KY"	"21069"	40	14432	277.2
	"Floyd County, KY"	"21071"	118	35845	329.2
	"Franklin County, KY"	"21073"	145	50815	285.3
	"Fulton County, KY"	"21075"	23	6120	375.8
	"Gallatin County, KY"	"21077"	22	8832	249.1
	"Garrard County, KY"	"21079"	29	17560	165.1
	"Grant County, KY"	"21081"	61	25121	242.8
	"Graves County, KY"	"21083"	97	37317	259.9
	"Grayson County, KY"	"21085"	68	26321	258.3
	"Green County, KY"	"21087"	36	11049	325.8
	"Greenup County, KY"	"21089"	95	35268	269.4
	"Hancock County, KY"	"21091"	17	8758	Unreliable
	"Hardin County, KY"	"21093"	178	110356	161.3
	"Harlan County, KY"	"21095"	120	26409	454.4
	"Harrison County, KY"	"21097"	59	18778	314.2
	"Hart County, KY"	"21099"	45	18906	238.0
	"Henderson County, KY"	"21101"	123	45591	269.8
	"Henry County, KY"	"21103"	38	16106	235.9
	"Hickman County, KY"	"21105"	17	4421	Unreliable
	"Hopkins County, KY"	"21107"	138	45068	306.2
	"Jackson County, KY"	"21109"	59	13442	438.9
	"Jefferson County, KY"	"21111"	1707	770517	221.5
	"Jessamine County, KY"	"21113"	72	53920	133.5
	"Johnson County, KY"	"21115"	67	22386	299.3
	"Kenton County, KY"	"21117"	283	166051	170.4
	"Knott County, KY"	"21119"	48	15126	317.3
	"Knox County, KY"	"21121"	90	31304	287.5
	"Larue County, KY"	"21123"	35	14307	244.6
	"Laurel County, KY"	"21125"	167	60669	275.3
	"Lawrence County, KY"	"21127"	46	15571	295.4
	"Lee County, KY"	"21129"	15	7033	Unreliable
	"Leslie County, KY"	"21131"	36	10143	354.9
	"Letcher County, KY"	"21133"	52	21899	237.5
	"Lewis County, KY"	"21135"	44	13257	331.9
	"Lincoln County, KY"	"21137"	57	24644	231.3
	"Livingston County, KY"	"21139"	35	9242	378.7
	"Logan County, KY"	"21141"	60	26989	222.3
	"Lyon County, KY"	"21143"	27	8009	337.1
	"McCracken County, KY"	"21145"	201	65346	307.6
	"McCreary County, KY"	"21147"	56	17408	321.7
	"McLean County, KY"	"21149"	38	9252	410.7
	"Madison County, KY"	"21151"	181	92368	196.0
	"Magoffin County, KY"	"21153"	40	12362	323.6
	"Marion County, KY"	"21155"	52	19404	268.0
	"Marshall County, KY"	"21157"	113	31191	362.3
	"Martin County, KY"	"21159"	36	11323	317.9
	"Mason County, KY"	"21161"	53	17150	309.0
	"Meade County, KY"	"21163"	51	28715	177.6
	"Menifee County, KY"	"21165"	19	6451	Unreliable
	"Mercer County, KY"	"21167"	78	21774	358.2
	"Metcalfe County, KY"	"21169"	25	10030	249.3
	"Monroe County, KY"	"21171"	40	10718	373.2
	"Montgomery County, KY"	"21173"	75	28203	265.9
	"Morgan County, KY"	"21175"	33	13345	247.3
	"Muhlenberg County, KY"	"21177"	98	30774	318.5
	"Nelson County, KY"	"21179"	94	45851	205.0
	"Nicholas County, KY"	"21181"	27	7166	376.8
	"Ohio County, KY"	"21183"	74	24087	307.2
	"Oldham County, KY"	"21185"	90	66470	135.4
	"Owen County, KY"	"21187"	23	10880	211.4
	"Owsley County, KY"	"21189"	16	4472	Unreliable
	"Pendleton County, KY"	"21191"	36	14529	247.8
	"Perry County, KY"	"21193"	102	26092	390.9
	"Pike County, KY"	"21195"	186	58402	318.5
	"Powell County, KY"	"21197"	37	12442	297.4
	"Pulaski County, KY"	"21199"	175	64623	270.8
	"Robertson County, KY"	"21201"	11	2135	Unreliable
	"Rockcastle County, KY"	"21203"	56	16750	334.3
	"Rowan County, KY"	"21205"	42	24583	170.8
	"Russell County, KY"	"21207"	57	17821	319.8
	"Scott County, KY"	"21209"	127	56031	226.7
	"Shelby County, KY"	"21211"	93	48518	191.7
	"Simpson County, KY"	"21213"	65	18529	350.8
	"Spencer County, KY"	"21215"	33	18794	175.6
	"Taylor County, KY"	"21217"	68	25549	266.2
	"Todd County, KY"	"21219"	29	12311	235.6
	"Trigg County, KY"	"21221"	57	14643	389.3
	"Trimble County, KY"	"21223"	18	8515	Unreliable
	"Union County, KY"	"21225"	36	14505	248.2
	"Warren County, KY"	"21227"	269	131264	204.9
	"Washington County, KY"	"21229"	26	12084	215.2
	"Wayne County, KY"	"21231"	56	20468	273.6
	"Webster County, KY"	"21233"	33	13111	251.7
	"Whitley County, KY"	"21235"	142	36242	391.8
	"Wolfe County, KY"	"21237"	31	7177	431.9
	"Woodford County, KY"	"21239"	42	26533	158.3
	"Acadia Parish, LA"	"22001"	189	62190	303.9
	"Allen Parish, LA"	"22003"	66	25605	257.8
	"Ascension Parish, LA"	"22005"	204	124672	163.6
	"Assumption Parish, LA"	"22007"	52	22300	233.2
	"Avoyelles Parish, LA"	"22009"	140	40462	346.0
	"Beauregard Parish, LA"	"22011"	115	37253	308.7
	"Bienville Parish, LA"	"22013"	41	13308	308.1
	"Bossier Parish, LA"	"22015"	274	127185	215.4
	"Caddo Parish, LA"	"22017"	548	242922	225.6
	"Calcasieu Parish, LA"	"22019"	667	203112	328.4
	"Caldwell Parish, LA"	"22021"	45	9960	451.8
	"Cameron Parish, LA"	"22023"	18	6968	Unreliable
	"Catahoula Parish, LA"	"22025"	38	9608	395.5
	"Claiborne Parish, LA"	"22027"	48	15944	301.1
	"Concordia Parish, LA"	"22029"	75	19572	383.2
	"De Soto Parish, LA"	"22031"	74	27436	269.7
	"East Baton Rouge Parish, LA"	"22033"	987	440956	223.8
	"East Carroll Parish, LA"	"22035"	21	7037	298.4
